date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:49	21259/21259	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/login.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/pages/login.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:50	23354/23354	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/register.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/pages/register.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:50	19426/19426	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/lock.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/pages/lock.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:50	45403/45403	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/user.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/pages/user.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:51	20745/20745	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/pages/error.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/pages/error.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:51	61840/61840	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/buttons.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/components/buttons.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:52	52260/52260	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/grid.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/components/grid.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:52	58208/58208	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/panels.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/components/panels.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:52	44203/44203	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/sweet-alert.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/components/sweet-alert.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:53	55725/55725	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/notifications.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/components/notifications.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:53	41467/41467	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/icons.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/components/icons.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:54	45571/45571	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/components/typography.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/components/typography.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:54	57134/57134	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/forms/regular.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/forms/regular.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:55	53856/53856	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/forms/extended.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/forms/extended.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:55	51796/51796	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/forms/validation.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/forms/validation.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:55	50522/50522	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/forms/wizard.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/forms/wizard.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:56	55535/55535	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/tables/regular.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/tables/regular.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:56	59432/59432	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/tables/extended.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/tables/extended.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:57	73692/73692	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/tables/datatables.net.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/tables/datatables.net.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
12:58:57	41776/41776	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/maps/google.html	D:/Extra/College/Sem%204/Admin%20Channel/demos.creative-tim.com/material-dashboard-pro/examples/maps/google.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.86817176.1812129689.1592119304-2122272501.1584067854)
